Ewondo,English,français
á dí,to eat,manger
"mə á dí, madí",I eat,je mange
"zié
Mawóg zié","hunger
I am hungry","la faim
J'ai faim"
Mbəmbə zam !,Good appetite!,Bon appétit !
bidí  ,food,la nourriture
napaca,tablecloth,la nappe
mvié,cooking pot,la marmite
fulafan,frying pan,la poêle à frire
esoa / bisoa,plate(s),assiette(s)
tok / betok,spoon(s),cuillère(s)
man elum,tea spoon,la petite cuillère
"elum, ilum / bilum",fork(s),fourchette(s)
okeŋ,knife,le couteau
fé,machet,"la machette, le coupe-coupe"
nlɔmbi,bottle,la bouteille
elɛ / belɛ,drinking glass(es),verre(s)
"kòb, tás",cup,la tasse
ndəg,,le pot
angónga,"can, tin",la boîte de conserve
bodo,butter,le beurre
mbɔn,oil,l'huile
angónga mbɔn,,le bidon d'huile
,black pepper,le poivre
nku,salt,le sel
"akikub, [akikup]",hen's egg,l'œuf de poule
vuvú,,le couscous
"fig, [fik]",flour,la farine
mbanla,bread,le pain
