"table_name","ordinal_position","column_name","data_type","is_nullable","column_default"
"contenus",1,"id","integer","NO",NULL
"contenus",2,"langue_source_id","integer","NO",NULL
"contenus",3,"type_contenu_id","integer","NO",NULL
"contenus",4,"theme_id","integer","YES",NULL
"contenus",5,"texte_source","text","NO",NULL
"contenus",6,"prononciation","text","YES",NULL
"contenus",7,"niveau","integer","YES","1"
"contenus",8,"audio_fichier","text","YES",NULL
"contenus",9,"actif","boolean","YES","true"
"contenus_traductions",1,"contenu_id","integer","NO",NULL
"contenus_traductions",2,"langue_id","integer","NO",NULL
"contenus_traductions",3,"traduction","text","NO",NULL
"contenus_traductions",4,"exemple","text","YES",NULL
"contenus_variantes",1,"id","bigint","NO","nextval('contenus_variantes_id_seq'::regclass)"
"contenus_variantes",2,"contenu_id","integer","NO",NULL
"contenus_variantes",3,"langue_id","integer","NO",NULL
"contenus_variantes",4,"variante","text","NO",NULL
"contenus_variantes",5,"note","text","YES",NULL
"langues",1,"id","integer","NO",NULL
"langues",2,"code","text","NO",NULL
"langues",3,"nom","text","NO",NULL
"progression",1,"utilisateur_id","integer","NO",NULL
"progression",2,"contenu_id","integer","NO",NULL
"progression",3,"nb_bonnes_reponses","integer","YES","0"
"progression",4,"nb_mauvaises_reponses","integer","YES","0"
"progression",5,"derniere_vue","date","YES",NULL
"progression",6,"prochaine_revision","date","YES",NULL
"progression",7,"intervalle_jours","integer","YES","1"
"themes",1,"id","integer","NO",NULL
"themes",2,"code","text","NO",NULL
"themes",3,"ordre","integer","NO",NULL
"themes_traductions",1,"theme_id","integer","NO",NULL
"themes_traductions",2,"langue_id","integer","NO",NULL
"themes_traductions",3,"nom","text","NO",NULL
"types_contenu",1,"id","integer","NO",NULL
"types_contenu",2,"code","text","NO",NULL
"types_contenu",3,"libelle","text","NO",NULL
"utilisateurs",1,"id","integer","NO",NULL
"utilisateurs",2,"nom","text","NO",NULL
"utilisateurs",3,"email","text","YES",NULL
"utilisateurs",4,"langue_id","integer","NO",NULL
"utilisateurs",5,"password","text","YES",NULL
